HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130419,FTTH,1,2533,Dumont Telephone Company
130420,DSL,0,4877,"Dunbarton Telephone Company, Inc."
130421,DSL,0,2061,Dunkerton Telephone Cooperative
130423,DOCSIS,0,13197,Duo County Telephone Cooperative Inc.
130423,DSL,0,22329,Duo County Telephone Cooperative Inc.
130423,FTTH,0,17290,Duo County Telephone Cooperative Inc.
130425,DSL,0,34230,DWL Holding Company
130427,DOCSIS,0,118642,"E. Ritter Communications Holdings, Inc."
130427,DSL,1,89992,"E. Ritter Communications Holdings, Inc."
130429,DOCSIS,0,69886,"Eagle Communications, Inc."
130429,Other,0,5929,"Eagle Communications, Inc."
130431,DSL,0,485,"Eagle Telephone Systems, Inc."
130431,FTTH,0,384,"Eagle Telephone Systems, Inc."
130432,DOCSIS,0,54233,EATEL Corp.
130432,DSL,0,33316,EATEL Corp.
130432,FTTH,1,88667,EATEL Corp.
130433,DSL,0,3682,East Buchanan Telephone Cooperative
130437,Other,1,6257,"Eastern Indiana WIFI, Inc."
130439,DSL,0,10546,"Eastern Slope Rural Telephone Association, Inc."
130440,DSL,0,77347,"Eastex Telephone Cooperative, Inc."
130444,DSL,0,10189,Egyptian Telephone Cooperative Association
130445,DOCSIS,0,51201,Electric and Water Plant Board of the City of Frankfort
130446,DOCSIS,0,13548,"Electric Plant Board of the City of Glasgow, KY"
130448,DSL,0,5503,Ellerbe Telephone Company
130448,Other,0,18415,Ellerbe Telephone Company
130449,DSL,0,3594,Ellington Telephone Company
130450,FTTH,0,4063,Ellsworth Cooperative Telephone Association
130453,DOCSIS,0,38534,Emery Telcom
130453,DSL,0,32084,Emery Telcom
130453,FTTH,1,23854,Emery Telcom
130454,FTTH,0,24467,Emily Cooperative Telephone Company
130455,DSL,0,25161,Empire Telephone Corporation/North Penn Telephone Company
130455,FTTH,1,47852,Empire Telephone Corporation/North Penn Telephone Company
130458,DSL,0,11025,"ENMR Telephone Cooperative, Inc."
130458,FTTH,1,21678,"ENMR Telephone Cooperative, Inc."
130458,Other,0,92546,"ENMR Telephone Cooperative, Inc."
130459,DOCSIS,1,475548,"En-Touch Systems, Inc."
130459,FTTH,1,475548,"En-Touch Systems, Inc."
130460,DSL,0,2508,Epic Touch Company
130464,DSL,0,38549,"Etex Telephone Cooperative, Inc."
130464,Other,0,10354,"Etex Telephone Cooperative, Inc."
130471,DOCSIS,0,110638,"FairPoint Communications, Inc."
130471,DSL,0,3530666,"FairPoint Communications, Inc."
130471,FTTH,1,324933,"FairPoint Communications, Inc."
130471,Other,0,11044,"FairPoint Communications, Inc."
130472,FTTH,0,7686,Farmers & Merchants Mutual Telephone Company
130472,Other,0,9757,Farmers & Merchants Mutual Telephone Company
130473,DSL,0,4049,"F&B Communications, Inc."
130473,FTTH,0,2871,"F&B Communications, Inc."
130475,DSL,0,8516,Farmers Cooperative Telephone Company-Dysart
130475,FTTH,1,8516,Farmers Cooperative Telephone Company-Dysart
130475,Other,0,8516,Farmers Cooperative Telephone Company-Dysart
