,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
1686,30027,2.0,1.0,7.0,12.0,2.0,2.0,8.0,13.0,2.0,2.0,7.0,13.0,2.0,2.0,7.0,13.0,2.0,2.0,7.0,13.0,2.0,2.0,7.0,13.0,2.0,2.0,7.0,13.0,2.0,2.0,7.0,13.0,1,30,11586.0,1635,MT,30027,146500.0
1687,30029,2.0,1.0,7.0,12.0,2.0,1.0,5.0,9.0,2.0,1.0,4.0,8.0,2.0,1.0,5.0,9.0,1.0,1.0,6.0,10.0,2.0,1.0,7.0,13.0,2.0,1.0,7.0,13.0,2.0,1.0,7.0,13.0,1,30,87529.0,3856,MT,30029,296397.0
1688,30031,5.0,1.0,8.0,21.0,3.0,1.0,13.0,25.0,4.0,1.0,12.0,25.0,4.0,1.0,8.0,22.0,4.0,1.0,8.0,21.0,5.0,1.0,9.0,23.0,5.0,1.0,11.0,26.0,5.0,1.0,9.0,23.0,1,30,88911.0,5634,MT,30031,377592.0
1689,30033,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1,30,886.0,574,MT,30033,127434.0
1690,30035,2.0,1.0,5.0,9.0,2.0,1.0,5.0,10.0,2.0,1.0,4.0,9.0,1.0,1.0,5.0,8.0,1.0,1.0,4.0,6.0,1.0,1.0,5.0,8.0,1.0,1.0,5.0,8.0,2.0,1.0,5.0,9.0,1,30,11620.0,966,MT,30035,115053.0
1691,30037,2.0,0.0,2.0,4.0,1.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,2.0,0.0,4.0,6.0,2.0,0.0,2.0,4.0,1,30,820.0,679,MT,30037,107711.0
1692,30039,1.0,0.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,1.0,0.0,2.0,4.0,1,30,2101.0,170,MT,30039,239857.0
1693,30041,1.0,1.0,3.0,7.0,1.0,1.0,4.0,8.0,1.0,1.0,5.0,9.0,1.0,1.0,5.0,9.0,1.0,1.0,4.0,8.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,7.0,1.0,1.0,3.0,7.0,1,30,15982.0,2853,MT,30041,140255.0
1694,30043,2.0,1.0,8.0,17.0,1.0,1.0,7.0,15.0,1.0,1.0,7.0,16.0,1.0,1.0,6.0,14.0,1.0,1.0,7.0,16.0,1.0,1.0,5.0,14.0,2.0,1.0,7.0,17.0,2.0,1.0,8.0,18.0,1,30,11406.0,3352,MT,30043,289275.0
1695,30045,2.0,0.0,4.0,10.0,1.0,0.0,3.0,7.0,1.0,0.0,3.0,8.0,1.0,0.0,3.0,7.0,1.0,0.0,3.0,7.0,1.0,0.0,3.0,7.0,2.0,0.0,3.0,8.0,2.0,0.0,4.0,11.0,1,30,2072.0,1363,MT,30045,151760.0
